language,enterprise_ready_count,total_repos,support_load,compliance_score,enterprise_ready_pct
TypeScript,40,100,1.61,0.79,40.0
JavaScript,35,100,1.14,0.74,35.0
Rust,33,100,1.94,0.75,33.0
C++,32,100,2.43,0.74,32.0
Go,32,100,1.41,0.74,32.0
Ruby,26,100,0.49,0.72,26.0
C#,25,100,2.67,0.67,25.0
Python,21,100,2.12,0.67,21.0
Swift,21,100,1.28,0.69,21.0
Kotlin,18,100,1.16,0.67,18.0
Java,15,100,2.04,0.64,15.0
PHP,12,100,0.45,0.64,12.0
